term,index
virus,9562
fakenews,3305
problems,6977
kill,5014
zoelife,9995
maintaining,5486
source,8316
pear,6511
nap,5949
carpet,1421
date,2293
stations,8477
listentothis,5304
penalty,6526
incompetent,4593
personal,6565
overwhelming,6371
bayer,858
pure,7125
number,6143
supplements,8688
festivals,3413
inscription,4684
horizon,4357
dan,2265
ther,8962
prepared,6897
workout,9861
extensive,3257
boyfriend,1142
toronto,9108
reversing,7553
pound,6841
increasingly,4600
binding,978
beef,893
discussing,2632
yankee,9932
checkout,1556
pie,6630
lmfaooooooo,5337
die,2547
london,5370
disgrace,2638
locals,5358
vile,9542
avenue,739
cellulite,1481
recognizing,7294
candy,1368
volcano,9589
intro385,4745
picking,6624
nasty,5958
kerry,4997
treats,9192
stainless,8431
targeted,8839
driving,2795
whaddya,9750
ipgcounseling,4781
whlr,9768
fetty,3415
temperatures,8901
vee,9489
fumed,3704
bi,951
rent,7423
nervous,6022
round,7666
angel,465
flows,3542
tribune,9207
teacher,8868
alberta,368
shale,7978
reporter,7445
amg,442
parachute,6426
appreciation,549
persons,6568
beeee,892
compass,1871
uranium,9429
steak,8489
xi,9921
delaying,2397
ideal,4490
pores,6809
generally,3790
rel,7370
climatefacts,1712
presented,6908
clearly,1698
krabs,5071
groove,4005
producing,6993
tags,8808
a2,122
dj,2682
souls,8307
madness,5469
neonics,6017
fingers,3472
backlash,778
creep,2148
spending,8350
codeine,1769
sons,8291
choe,1600
lip,5293
admit,252
wh,9748
energy,3028
architects,570
8th,112
flags,3504
xume,9924
bravo,1161
exhaust,3196
title,9061
convince,2025
infections,4639
henry,4234
plaza,6703
sta,8419
come,1827
like,5270
forced,3581
fanchants,3321
ep,3081
daimler,2249
lazarus,5168
reunited,7537
suprem,8702
involved,4771
pole,6755
wave,9687
arthri,605
serves,7945
departments,2452
cpr,2114
cash,1435
tastes,8846
summers,8668
hate,4138
hundo,4439
incident,4585
bridgegate,1200
installation,4703
jam,4835
ways,9694
blame,1018
smoked,8211
ensure,3053
nationalize,5964
saying,7785
donald,2714
bklyn,1010
cruelty,2175
ecog,2881
beautifully,885
fines,3468
volkswagen,9591
trade,9144
19th,34
eric,3097
feat,3374
shops,8044
foreign,3588
7pm,105
holidays,4320
guitar,4036
stuffy,8604
nj,6084
assessment,644
biking,967
bane,809
granted,3960
scientist,7821
wheels,9757
marni,5546
slams,8161
jamelle,4839
crap,2126
disclose,2619
grant,3959
mars,5551
beg,897
boss,1118
engaged,3034
functions,3709
dark,2282
ags,323
emma,2994
tweets,9293
editor,2902
annoying,489
seller,7904
heroes,4242
blonde,1056
teenager,8890
neighbors,6011
courts,2099
technician,8880
poison,6746
addresses,237
sanders,7748
soldier,8267
wiped,9810
waste,9670
so2,8237
goblin,3882
med,5629
hates,4141
economically,2885
amounts,447
enforcing,3032
tflers,8937
shop,8042
supremacy,8704
dearest,2321
maralago,5526
clueless,1745
gorilla,3913
fade,3290
abundance,149
combination,1822
worm,9873
ear,2850
temporary,8903
remarkable,7398
usa,9440
increase,4596
craveradio,2129
complaining,1877
discharge,2617
price,6943
grocery,4004
communication,1858
smart,8191
hormone,4358
compressed,1893
milk,5745
cell,1478
emissions,2987
divine,2677
responders,7502
movement,5884
alkaline,388
lanes,5122
wildfire,9787
haha,4061
kept,4996
breathtaking,1188
madison,5468
borrow,1116
admissions,251
ambition,432
senior,7918
tmnt,9066
brasi,1158
ole,6247
krishna,5072
strong,8583
rex,7561
incredibleunforgettable,4602
stanford,8444
singer,8119
october,6211
amwriting,449
prenatal,6893
drawers,2769
sniff,8231
phlegm,6600
rggi,7563
paradise,6427
synthetic,8788
believing,919
omfg,6253
raff,7195
nikki,6075
false,3311
releasing,7386
contemplating,1991
teach,8867
vibe,9522
difference,2557
nys,6171
fatal,3346
capitalism,1384
acknowledge,195
whites,9767
pump,7108
scrap,7832
accused,182
held,4219
toxins,9130
pnbrock,6728
digitalhealth,2570
heather,4206
outbreak,6328
development,2523
escape,3106
tenants,8906
clue,1744
irony,4792
drops,2802
og,6233
qualified,7152
endangered,3014
cares,1412
pays,6501
sequester,7938
deny,2448
frightening,3675
worth,9885
phenomenal,6595
lmfaoooooo,5336
bills,973
messed,5684
outta,6345
litter,5310
nypd,6169
building,1268
head,4165
brainchild,1150
remarks,7399
scenes,7802
sorts,8303
annoyed,488
land,5109
asking,628
fam,3314
view,9539
alongside,408
wont,9846
outrage,6340
jason,4854
freshwater,3662
rallies,7211
youare,9973
foundation,3616
warns,9661
ones,6257
regions,7350
delivery,2413
bankrupt,815
lack,5090
mediocre,5638
protesters,7062
considered,1958
changing,1521
visualize,9573
mccartney,5606
oz,6384
swiss,8776
lrt,5431
keystone,5001
decade,2334
echo,2878
commuting,1862
hypocrite,4469
douglas,2740
loser,5395
henny,4233
inquiry,4680
lets,5227
wretched,9898
cnbc,1749
incidence,4584
thanks,8945
washed,9666
burden,1280
huarache,4410
govegan,3923
