term,index
virus,9570
fakenews,3420
kill,5032
source,8355
pear,6547
nap,5982
carpet,1503
date,2385
risk,7661
listentothis,5319
2day,63
penalty,6566
roger,7689
screens,7892
personal,6606
overwhelming,6393
bayer,875
pure,7168
number,6169
supplements,8725
sing,8166
je,4899
horizon,4413
dan,2358
neck,6014
prepared,6947
deptford,2556
extensive,3359
foxes,3730
trade,9164
redbridge,7357
pound,6892
dresses,2857
binding,1001
beef,913
consultation,2052
marylebone,5576
cleanairnow,1762
tidal,9054
pie,6677
chance,1593
showcase,8117
die,2639
london,5378
locals,5361
good,3989
white,9778
fm1fm,3659
taxation,8869
candy,1446
volcano,9598
picking,6671
nasty,5987
treats,9215
regulated,7411
feedback,3498
bloke,1090
driving,2871
victorian,9540
iraq,4831
commuting,1945
faith,3417
birthday,1022
halved,4164
hayfever,4239
nervous,6045
tunnels,9282
vince,9554
round,7718
angel,481
flows,3649
dazzling,2401
teacher,8884
alberta,391
shale,8034
reporter,7504
latin,5139
omega,6276
blatantly,1056
appreciation,566
dunno,2905
persons,6609
rapes,7267
uranium,9434
breakthrough,1230
gross,4089
delaying,2486
ideal,4536
generally,3886
rel,7422
climbing,1800
presented,6957
clearly,1785
san,7795
producing,7042
applying,561
a2,136
dj,2763
leaking,5186
madness,5484
spongebob,8424
plateau,6744
fingers,3581
exact,3258
honey,4401
spending,8394
codeine,1856
sons,8325
fats,3466
wh,9761
1kmh,39
28th,58
8th,126
schoolchildren,7858
dirt,2683
bravo,1213
title,9080
convince,2112
historic,4358
whatsapp,9767
bg,973
sta,8456
expecially,3317
bloomberg,1097
ship,8075
fanchants,3437
louisiana,5426
daimler,2347
reunited,7593
history,4360
emily,3052
grandma,4031
refill,7377
contain,2064
wave,9700
fayose,3477
serves,7998
departments,2539
harry,4220
appalling,540
cash,1514
caterpillars,1529
tackling,8828
equally,3174
incident,4630
hurricane,4495
boxing,1187
ecofriendly,2961
cavendish,1541
jam,4883
ways,9705
blame,1047
smoked,8256
argentina,595
ensure,3133
establish,3205
pesticide,6612
saying,7827
donald,2795
bottle,1172
improves,4618
homo,4394
fac,3386
beautifully,904
fines,3578
volkswagen,9600
reversing,7609
19th,35
boo,1143
feat,3486
shops,8101
40m,90
electricity,3020
motivation,5898
biological,1011
picks,6672
unveils,9418
nj,6105
assessment,663
vessel,9523
granted,4034
hostess,4435
incinerator,4633
scientist,7864
wheels,9771
feel,3501
slams,8208
crap,2214
undertook,9366
uni,9383
grant,4033
pharmacists,6628
mars,5573
evelyn,3235
boss,1167
engaged,3113
dark,2373
prominent,7068
earned,2933
emma,3066
tweets,9300
stump,8641
chimneys,1671
standard,8478
seaside,7911
heroes,4319
blonde,1091
resolution,7544
beathe,898
felling,3509
mar,5548
robust,7685
courts,2189
cpc17,2203
poison,6800
wiped,9821
waste,9681
so2,8281
big,983
12c,21
med,5640
hates,4229
blockbuster,1080
amounts,467
camberwell,1414
tflers,8960
exercises,3295
zschech,9999
broke,1279
piers,6680
containing,2067
kante,4987
culling,2294
combination,1903
trajectory,9181
ear,2928
motoring,5900
temporary,8924
remarkable,7455
usa,9447
increase,4643
piano,6666
discharge,2701
communication,1938
smart,8236
fightingforair,3544
compressed,1978
milk,5757
busy,1368
emissions,3059
movement,5916
rep,7484
lanes,5122
wildfire,9796
portsmouth,6866
obvious,6214
beta,964
haha,4149
kept,5011
easing,2945
borrow,1165
admissions,269
essex,3203
lily,5289
blockchain,1082
names,5977
theresamay,8993
strong,8619
targeting,8858
singer,8167
bumblebee,1339
amwriting,469
sniff,8273
selfishness,7957
bankjunction,829
synthetic,8814
believing,939
insufficient,4760
omfg,6277
oxford,6400
dirtyair,2686
false,3428
releasing,7438
directive,2677
sobering,8287
vibe,9532
difference,2651
fatal,3463
capitalism,1461
acknowledge,211
sympathy,8806
undo,9369
scrap,7880
partly,6486
accused,198
held,4297
commented,1921
brent,1243
wife,9789
outbreak,6359
emotional,3068
escape,3194
clue,1830
irony,4838
drops,2879
og,6251
endangered,3089
cares,1491
sequester,7990
deny,2536
frightening,3776
worth,9908
hell,4300
bills,998
outta,6373
litter,5326
controversy,2100
building,1327
head,4250
scenes,7849
sorts,8341
neutral,6055
land,5111
caesarean,1393
fam,3430
view,9546
mornings,5885
indoor,4669
wont,9855
outrage,6369
jason,4894
charges,1613
rallies,7253
youare,9972
foundation,3724
ones,6284
dinner,2667
delivery,2503
cyclist,2331
lack,5092
mediocre,5649
protesters,7108
changing,1600
committed,1931
violent,9562
ophelia,6310
swiss,8798
airports,373
echo,2959
fetty,3521
nofilter,6118
lambeth,5106
scorching,7871
inquiry,4730
lets,5228
directly,2678
incidence,4629
thanks,8969
washed,9677
froome,3781
burden,1345
destination,2585
erica,3182
skynews,8202
trumpcare,9258
labour,5090
sincerely,8165
dreary,2854
vet,9525
sunsets,8715
unintended,9386
sick,8131
hoe,4372
alzheimer,441
donation,2798
happens,4191
closed,1815
soothing,8333
blow,1101
technology,8902
bid,982
estimated,3210
unreal,9407
mode,5836
nuisance,6166
complaint,1964
fed,3493
deleteuber,2489
earnest,2934
arse,621
particles,6480
leader,5176
hospitalization,4429
norfolk,6130
fitzrovia,3607
debate,2420
velvet,9511
peppa,6578
lowering,5440
metropolitan,5720
chest,1655
going,3981
datascience,2383
stuff,8638
provides,7119
cigarette,1707
toilet,9092
footprint,3689
nearby,6008
productivity,7046
4matic,96
louise,5425
islamic,4847
sane,7801
record,7340
eurovision,3226
ivory,4871
typical,9314
thu,9037
times,9069
forecasts,3696
lords,5409
virgin,9565
ron,7703
excessive,3275
meaningful,5626
voice,9594
remake,7454
managed,5519
send,7966
coloured,1896
knocked,5067
healing,4260
ingenious,4704
apostle,538
convenient,2101
thoracic,9011
mature,5602
funkeeeeee,3820
afrobeats,319
starts,8497
keeping,4999
pollut,6829
watching,9691
7c,117
construction,2047
mainstream,5500
md,5621
locally,5360
ontario,6291
nations,5994
discussions,2718
academic,174
udrradio,9324
research,7528
vegetables,9506
substance,8658
cleanenergy,1766
falls,3427
lighting,5275
houston,4455
9m,132
tuesday,9271
eltham,3037
mitigating,5815
require,7521
msm,5930
thatcher,8972
adherence,263
celebrating,1555
flu,3651
innocent,4725
woman,9847
run,7744
et,3213
especia,3196
mum,5940
trends,9223
croydon,2270
dangers,2366
cabinet,1388
craiglist,2213
worsened,9903
banning,832
insights,4738
sepsis,7987
blockchai,1081
gospel,4003
nails,5972
gum,4125
disturbing,2751
species,8383
explanation,3338
rivers,7667
reality,7306
inadequate,4624
exceptional,3273
detected,2595
xi,9934
secretary,7926
diagnosed,2625
dash,2379
battersea,869
agw,343
express,3352
reply,7499
inches,4628
debts,2425
doubles,2816
shisha,8080
abuja,169
capacity,1458
seoul,7983
fav,3469
speeding,8390
corruption,2152
age,323
slowly,8230
juventus,4983
temporarily,8923
drawing,2844
lisa,5313
single,8169
implemented,4598
respiratory,7554
eye,3378
dignified,2664
pulled,7149
churches,1702
resped,7553
ngl,6073
apnea,534
material,5592
sponsor,8425
weirdo,9739
incredible,4648
loudly,5423
fri,3768
hq,4458
thieves,9001
damp,2357
tek,8913
airborne,362
abou,154
del,2483
org,6341
century,1568
champion,1590
10yrs,15
muscle,5948
adamawa,245
squeeze,8451
aggressive,333
hmm,4368
tragedy,9169
crops,2261
holland,4383
excuses,3287
dam,2349
lilo,5288
screamed,7887
think,9005
und,9353
moon,5873
hospitalised,4428
badly,797
safeguard,7769
advance,283
aust,728
phil,6639
justice,4979
halloweekend,4158
knew,5061
deserved,2570
grow,4097
facup,3403
dropped,2876
introduced,4795
disgusting,2726
medium,5653
gut,4130
sea,7902
generator,3893
communiti,1939
papers,6454
wendy,9752
exacerbate,3255
tracking,9161
ruin,7736
awake,761
rely,7448
inviting,4818
cambridge,1415
nat,5988
organisation,6344
ro,7669
asian,644
bulbs,1331
forcing,3693
pp,6904
adverse,288
settings,8007
solution,8312
watch,9687
connections,2025
palestinian,6442
par,6455
opposite,6320
nest,6046
brigade,1257
unfortunate,9378
seats,7916
hum,4478
dependency,2542
wearable,9717
heights,4295
terminal,8934
dick,2635
repeating,7491
nbc,6004
brussels,1297
deforestation,2476
hedgehogs,4291
worthy,9909
sore,8336
incidents,4631
plate,6743
shell,8062
escalate,3193
havin,4235
facility,3394
uno,9403
fiction,3534
political,6817
fitnesstuesday,3603
latrobe,5140
seokjin,7982
exactly,3259
pays,6534
energy,3103
id,4534
immediate,4580
fm,3658
analysis,473
delusional,2507
proportion,7087
shut,8125
budget2017,1319
planting,6734
pdp,6538
pet,6615
claim,1734
sub,8651
tbt,8878
anytime,528
fab,3383
woke,9843
abolished,153
administrator,266
bears,894
loneliness,5385
reward,7620
scrattons,7885
florence,3642
hospitalized,4430
thing,9003
dear,2417
surrender,8755
worldoceansday,9890
pavements,6526
helping,4307
yemen,9955
types,9313
loud,5421
quit,7214
colors,1893
oceanrescue,6226
prints,7004
ultimatum,9335
swimming,8795
retro,7582
martin,5574
stones,8555
hazard,4242
ruth,7756
ou,6357
ugly,9326
bikes,993
indigenous,4662
liberty,5251
ahhh,348
somalia,8319
roundup,7721
deadass,2404
jenna,4905
join,4931
ptsd,7133
gerd,3909
awe,770
choked,1683
exacerbation,3256
child,1661
cleangrowth,1770
appeared,549
stopadani,8558
slave,8214
highest,4332
clearer,1783
sweaty,8785
plaque,6736
cloudy,1826
olusegunmedupin,6273
utd,9461
henry,4312
carbon,1473
latest,5137
trip,9241
cue,2291
maker,5507
visionscapegrp,9576
fake,3418
protein,7106
logistics,5371
wrote,9924
pounding,6893
remind,7462
bigoil,990
rescue,7527
rocket,7687
fully,3808
operation,6306
supported,8731
n187k,5965
athletes,688
asthma,678
sars,7806
saharan,7775
blackfriars,1039
weapon,9713
reasons,7313
congress,2021
coasts,1845
ad,243
au,718
festive,3520
settle,8008
supporting,8735
suggesting,8688
greek,4059
misled,5802
horses,4425
sheer,8058
appropriate,571
vs,9622
unique,9388
osinbajo,6355
treaty,9216
flux,3654
hoping,4412
mirrors,5797
facupfinal,3404
womb,9848
o3,6195
vegan,9503
forced,3691
honeymoon,4402
contributors,2094
errs,3189
closing,1819
stat,8500
basket,859
nerve,6043
jersey,4910
pharrell,6630
debut,2426
6pm,114
impose,4609
days,2400
checked,1634
fre,3747
2yrs,70
incentives,4627
protection,7102
invisible,4814
buhari,1325
flight,3630
toriesout,9125
hop,4406
philosopher,6642
severity,8016
dieselfacts,2644
parliamentary,6473
denier,2527
written,9921
dressed,2856
connection,2024
estuary,3212
nail,5971
bbcpapers,879
callin,1408
qatar,7187
daft,2344
processing,7033
involved,4820
niall,6079
toss,9127
shawn,8052
faint,3413
rooms,7707
leeds,5202
wtf,9927
stopthesoot,8563
syncytial,8812
listed,5315
fan,3436
beeping,914
cheese,1642
euets,3220
decrease,2451
requested,7520
earls,2930
abuse,170
welders,9744
nano,5980
zoom,9998
votelabour,9610
harlington,4210
retrofit,7583
happening,4190
baked,803
push,7176
payment,6532
agree,336
grade,4022
proved,7114
countries,2176
foy,3731
peop,6573
collaborate,1869
drag,2828
defence,2465
difficulties,2656
stanmore,8483
mindfulness,5768
putting,7184
fired,3590
judge,4957
engage,3112
drugdiscovery,2886
swap,8782
oxfordstreet,6401
unlikely,9400
email,3039
protections,7103
yields,9962
laden,5096
10c,8
williams,9801
gro,4088
lilac,5287
powder,6899
bible,979
hate,4226
cut,2319
crushed,2279
halves,4165
walbrook,9637
chewing,1656
ri,7630
inhaler,4711
greatness,4053
mistake,5809
rape,7266
sexual,8021
cider,1706
computer,1979
bottledeposits,1175
np,6158
mcm,5619
ultrasonic,9337
aug,724
lawyers,5162
shot,8109
studies,8633
ucl,9322
great,4049
wake,9634
gsk,4102
reportedly,7503
points,6798
nature,5999
ops,6322
teachers,8885
crippled,2245
installation,4750
allow,422
publication,7137
detrimental,2603
aids,353
score,7872
permitted,6600
unsure,9412
hun,4487
toxicair,9147
chlorine,1677
challenges,1587
blu,1105
wing,9812
plane,6722
grain,4026
invasion,4800
optical,6325
tedx,8904
priory,7009
matching,5590
earthquake,2940
ministry,5787
hype,4511
reverse,7605
descended,2563
platforms,6747
therapist,8989
reflect,7381
saliva,7787
oppa,6314
definitely,2472
celebrate,1552
thought,9012
joke,4936
sang,7802
deadly,2409
ley,5237
invited,4816
neo,6036
parents,6462
windows,9808
aims,359
pink,6694
fiat,3530
amg,462
decent,2434
albeit,389
viruses,9571
cruelty,2274
clinicalapprovals,1803
allergenic,414
combo,1907
ingredient,4706
wellness,9748
laughing,5144
replaced,7494
absorption,165
tent,8930
ag,322
monitor,5858
resist,7541
zen,9989
cahill,1398
practically,6909
filth,3562
snowflakes,8277
sadiq,7765
sound,8347
energyefficiency,3104
choir,1681
milestone,5755
ash,640
mbiaa17,5614
battle,871
